screen_name,text
AfD,"Den #Migrationspakt hätte man auch kürzer halten können.
Ein einziger Satz würde alles auf den Punkt bringen.
#AfD #ltnrw @AfD_FraktionNRW https://t.co/nBZB7n5XOA"
AfD,"❝Hier wird der #Verfassungsschutz politisch instrumentalisiert. Das ist schändlich und dagegen wehren wir uns auf jede erdenkliche Weise!❞
@Joerg_Meuthen zu Forderungen nach einer #AfD-Beobachtung.
🎬 https://t.co/iJxui3l61T
Gesamte Pressekonferenz: https://t.co/ZTa9KoLaks https://t.co/DvuiTBTina"
AfD,"++ #Seehofers Umbenennungszirkus: Wird aus #Bamf jetzt #SUMPF?++
Das wäre doch die ehrlichste Beschreibung aller Zeiten, oder etwa nicht?
Sie haben eine bessere Idee? Lassen Sie sie uns im Kommentarbereich wissen.
#AfD #Asylstreit #Unionsstreit
➡️ https://t.co/2S9CPhPxvG https://t.co/jSujWyYE5l"
AfD,"Wirklich eine interessante ""Familien""-Konstellation...
Übrigens: Warum hat der Mann ganz rechts schwarze/dunkle Hände? 🤔
Beim Photoshoppen den Praktikanten rangelassen, liebe Freunde aus Österreich? https://t.co/x7MekNWbie"
AfD,"🆕 Bayern | Neu auf Twitter: Wolfgang #Wiehle, MdB (Wahlkreis 219 ""München-Süd“, https://t.co/EB5BWByOhW) - herzlich willkommen!       

#Bundestag #AfDwirkt #AfD      

Bitte folgen ▶️ @WolfgangWiehle https://t.co/psztX1saBC"
AfD,"++ Seid Ihr nicht willig, so gebrauchen wir Gewalt: Bürger sollen zu Klimaschützern ""erzogen"" werden! ++
Obwohl hierzulande ohnehin schon die höchsten Energiepreise Europas bezahlt werden müssen, fordert die SPD nun weitere Steuererhöhungen!
#AfD
➡️ https://t.co/MNf7noGC1M https://t.co/aT4WF6zxX2"
AfD,"Johannes @HuberMdB, Obmann der #AfD-Fraktion im #Petitionsausschuss:
»Als Termin für die öffentliche Anhörung im #Bundestag steht nun der 14. Januar 2019 fest.«
#Migrationspakt #UNMigrationspakt #GlobalCompact 
https://t.co/jEEtoqUKez"
AfD,"++ Grausamer Mord an 2 kleinen Mädchen erschüttert #Dresden ++
Was für ein unfassbar krankes Verbrechen! Zwei Geschwister, 3 &amp; 6 Jahre alt, mussten durch die Hand ihres eigenen Vaters sterben. Der Mosambikaner ermordete die Schwestern brutal.
#AfD
➡️ https://t.co/LcTu66BSjE https://t.co/wZyYyT6CXW"
AfD,"Jetzt greift Brüssel auch noch nach der Macht im Straßenverkehr ...

Besonders verwunderlich ist, dass die die #GroKo trotz der massiven Kritik aus dem Ministerium die Subsidiaritätsrüge der AfD abgelehnt haben. Offenbar will man jetzt auch an den eigenen Experten vorbeiregieren! https://t.co/EZcjHxEQPh"
AfD,"Der offizielle &amp; verifizierte Account der SED-Nachfolgepartei aus Sachsen.
Kann man mangelnde Kinderstube, Demokratieferne, infantile Kommunikationsfähigkeiten und Abwesenheit von Verstand ""besser"" zur Schau stellen?
Oder in einem Wort ausgedrückt: e͟r͟b͟ä͟r͟m͟l͟i͟c͟h͟! https://t.co/UDoOm5hA9S"
AfD,"Wenn die Hitlergruß-zeigenden ""AfD-Demonstranten"" ein RAF-Tatoo hatten, sollten unsre Schlapphüte vom Verfassungsschutz vielleicht noch einmal darüber nachdenken, wer hier beobachtet werden muss.  https://t.co/rUueFBcKsG"
AfD,"Wenn das mal nicht nach hinten losgeht...
#DieMannschaft #WM2018 
https://t.co/Em1sNT6uHn"
AfD,"Viele gehen längst nicht mehr unbefangen auf Weihnachtsmärkte; ausgelassen sind die Leute allenfalls so lange, bis der nächste Anschlag kommt. Dann erklären uns Minister, dass das zwar bedauerlich ist, man aber nichts tun könne &amp; jetzt zum Alltag überginge. #Politikwechsel #AfD https://t.co/SGIssLpnTr"
